22736,1202.8,4e-05
22097,1202.8,0.0010497
21490,1401.4,0.0020594
20913,1372.8,0.0030691
20374,1351.4,0.0040788
19855,1330.9,0.0050885
19363,1311.4,0.0060982
18896,1292.9,0.0071079
18450,1275.2,0.0081176
18025,1258.4,0.0091273
17618,1242.3,0.010137
17230,1226.9,0.011147
16870,1212.6,0.012156
16498,1197.9,0.013166
16158,1184.5,0.014176
15829,1171.4,0.015185
15517,1159.1,0.016195
15214,1147.1,0.017205
14923,1135.5,0.018215
14642,1124.4,0.019224
14371,1113.7,0.020234
14112,1103.4,0.021244
13857,1093.3,0.022253
13612,1083.6,0.023263
13382,1074.5,0.024273
13156,1065.6,0.025282
12938,1056.9,0.026292
12723,1048.4,0.027302
12519,1040.3,0.028312
12320,1032.5,0.029321
12127,1024.8,0.030331
11941,1017.4,0.031341
11759,1010.2,0.03235
11584,1003.3,0.03336
11414,996.57,0.03437
11247,989.96,0.035379
11086,983.58,0.036389
10928,977.33,0.037399
10776,971.31,0.038408
10627,965.41,0.039418
10512,960.85,0.040428
10344,954.2,0.041438
10207,948.77,0.042447
10074,943.5,0.043457
9944,938.36,0.044467
9818,933.37,0.045476
9694,928.46,0.046486
9574,923.7,0.047496
9456,919.03,0.048505
9341,914.48,0.049515
9229,910.04,0.050525
9119,905.68,0.051535
9013,901.49,0.052544
8908,897.33,0.053554
8807,893.33,0.054564
8706,889.33,0.055573
8609,885.49,0.056583
8515,881.76,0.057593
8420,878,0.058602
8332,874.52,0.059612
8241,870.91,0.060622
8153,867.43,0.061632
8066,863.98,0.062641
7982,860.65,0.063651
7899,857.37,0.064661
7819,854.2,0.06567
7740,851.07,0.06668
7663,848.02,0.06769
7592,845.21,0.068699
7511,842,0.069709
7439,839.15,0.070719
7367,836.3,0.071728
7296,833.49,0.072738
7229,830.83,0.073748
7160,828.1,0.074758
7094,825.49,0.075767
7028,822.87,0.076777
6960,820.18,0.077787
6899,817.76,0.078796
6838,815.35,0.079806
6778,812.97,0.080816
6718,810.6,0.081825
6658,808.22,0.082835
6601,805.96,0.083845
6545,803.74,0.084855
6488,801.49,0.085864
6434,799.35,0.086874
6380,797.21,0.087884
6327,795.11,0.088893
6275,793.05,0.089903
6223,790.99,0.090913
6172,788.97,0.091922
6122,786.99,0.092932
6073,785.05,0.093942
6025,783.15,0.094952
5978,781.29,0.095961
5945,779.98,0.096971
5885,777.61,0.097981
5838,775.75,0.09899
5794,774,0.1
